Day of week,Month,Cost,Clicks,Impressions,Average position,Conversions,Revenue
Wednesday,2018 - 07,"$90,465 ","258,725","12,874,140",0.56,"13,911","$1,833,842 "
Wednesday,2018 - 08,"$107,324 ","325,252","15,260,572",0.42,"18,758","$2,510,235 "
Wednesday,2018 - 09,"$97,971 ","265,776","12,140,797",0.3,"15,920","$2,156,132 "
Wednesday,2018 - 10,"$146,245 ","398,987","18,065,195",0.23,"24,790","$3,228,143 "
Wednesday,2018 - 11,"$167,953 ","413,351","19,101,183",0.21,"29,212","$3,899,862 "
Wednesday,2018 - 12,"$115,092 ","336,731","14,806,635",0.23,"22,348","$2,773,672 "
Wednesday,2019 - 01,"$129,395 ","410,348","19,226,676",0.23,"21,679","$2,580,127 "
Wednesday,2019 - 02,"$134,021 ","355,968","18,067,896",0.17,"20,045","$2,433,667 "
Wednesday,2019 - 03,"$106,886 ","324,380","15,945,275",0.16,"19,234","$2,327,514 "
Wednesday,2019 - 04,"$111,519 ","326,116","16,702,287",0.21,"17,958","$2,204,278 "
Wednesday,2019 - 05,"$91,630 ","255,623","13,410,436",0.21,"15,702","$1,913,825 "
Thursday,2018 - 01,"$74,886 ","205,020","11,062,518",0.61,"9,403","$1,007,019 "
Thursday,2018 - 02,"$92,360 ","214,093","11,327,152",0.69,"9,354","$1,081,521 "
Thursday,2018 - 03,"$107,181 ","239,139","10,775,692",0.43,"10,005","$1,211,821 "
Thursday,2018 - 04,"$85,296 ","226,081","10,564,208",0.4,"8,895","$1,045,470 "
Thursday,2018 - 05,"$111,934 ","287,271","12,905,420",0.47,"15,203","$1,943,924 "
Thursday,2018 - 06,"$117,581 ","270,701","14,669,525",0.99,"12,860","$1,682,968 "
Thursday,2018 - 07,"$89,276 ","257,886","13,132,029",0.57,"13,504","$1,782,872 "
Thursday,2018 - 08,"$96,786 ","303,183","14,152,658",0.42,"17,076","$2,260,724 "
Thursday,2018 - 09,"$93,790 ","254,877","11,639,564",0.31,"15,223","$1,984,761 "
Thursday,2018 - 10,"$110,921 ","305,635","13,990,366",0.23,"18,777","$2,461,899 "
Thursday,2018 - 11,"$171,783 ","425,821","19,737,292",0.21,"30,133","$3,980,930 "
Thursday,2018 - 12,"$127,922 ","366,929","17,308,893",0.21,"22,970","$2,812,623 "
Thursday,2019 - 01,"$108,937 ","359,327","16,715,585",0.22,"19,636","$2,469,110 "
Thursday,2019 - 02,"$114,050 ","319,829","15,728,491",0.2,"17,690","$2,166,718 "
Thursday,2019 - 03,"$111,432 ","329,938","16,487,555",0.15,"19,181","$2,311,888 "
Thursday,2019 - 04,"$103,113 ","311,211","15,832,474",0.21,"17,629","$2,221,623 "
Thursday,2019 - 05,"$57,549 ","165,640","8,533,973",0.22,"9,611","$1,151,602 "
Friday,2018 - 01,"$61,346 ","172,575","9,555,158",0.68,"8,457","$870,549 "
Friday,2018 - 02,"$78,140 ","194,037","10,000,437",0.75,"8,563","$1,033,576 "
Friday,2018 - 03,"$91,044 ","213,766","9,130,621",0.43,"8,429","$1,006,601 "
Friday,2018 - 04,"$64,499 ","185,223","8,364,192",0.47,"7,416","$909,420 "
Friday,2018 - 05,"$82,632 ","212,508","9,176,625",0.53,"10,818","$1,401,497 "
Friday,2018 - 06,"$113,768 ","287,865","15,007,681",0.92,"14,061","$1,909,057 "
Friday,2018 - 07,"$79,753 ","242,919","12,273,088",0.59,"12,240","$1,632,518 "
Friday,2018 - 08,"$83,180 ","271,589","12,665,199",0.44,"14,978","$1,977,119 "
Friday,2018 - 09,"$82,198 ","232,642","10,532,898",0.31,"13,626","$1,800,777 "
Friday,2018 - 10,"$94,523 ","268,630","12,358,123",0.23,"16,310","$2,144,683 "
Friday,2018 - 11,"$220,138 ","504,905","22,602,024",0.27,"35,703","$4,865,533 "
Friday,2018 - 12,"$104,539 ","315,102","14,754,326",0.22,"19,248","$2,371,754 "
Friday,2019 - 01,"$76,069 ","264,752","12,377,561",0.22,"13,935","$1,702,691 "
Friday,2019 - 02,"$82,170 ","246,003","11,983,586",0.19,"13,309","$1,684,793 "
Friday,2019 - 03,"$124,440 ","376,986","18,784,522",0.18,"20,486","$2,493,341 "
Friday,2019 - 04,"$98,906 ","299,672","15,388,278",0.21,"16,206","$1,963,337 "
Friday,2019 - 05,"$54,426 ","156,550","8,399,941",0.21,"9,148","$1,119,739 "
Saturday,2018 - 01,"$69,957 ","194,937","10,927,741",0.62,"8,396","$927,015 "
Saturday,2018 - 02,"$87,228 ","225,750","11,649,108",0.67,"9,263","$1,101,624 "
Saturday,2018 - 03,"$87,497 ","217,211","8,872,434",0.49,"7,779","$974,160 "
Saturday,2018 - 04,"$69,799 ","206,720","9,245,943",0.52,"7,993","$979,230 "
Saturday,2018 - 05,"$84,996 ","225,452","10,018,681",0.56,"10,877","$1,420,926 "
Saturday,2018 - 06,"$130,444 ","330,918","17,265,795",0.9,"15,275","$2,058,291 "
Saturday,2018 - 07,"$83,438 ","261,866","13,609,753",0.64,"12,607","$1,717,204 "
Saturday,2018 - 08,"$76,195 ","253,441","12,484,583",0.43,"13,185","$1,797,822 "
Saturday,2018 - 09,"$108,341 ","320,608","14,239,913",0.35,"17,347","$2,277,003 "
Saturday,2018 - 10,"$105,260 ","305,253","14,038,074",0.26,"17,023","$2,291,051 "
Saturday,2018 - 11,"$151,962 ","374,429","18,722,952",0.22,"22,849","$3,083,950 "
Saturday,2018 - 12,"$120,603 ","355,697","17,358,275",0.22,"20,733","$2,568,165 "
Saturday,2019 - 01,"$81,360 ","294,806","13,811,283",0.23,"14,299","$1,720,307 "
Saturday,2019 - 02,"$112,826 ","349,842","17,118,472",0.2,"17,359","$2,159,826 "
Saturday,2019 - 03,"$129,249 ","427,032","20,875,543",0.18,"22,247","$2,686,443 "
Saturday,2019 - 04,"$103,606 ","323,830","16,800,629",0.22,"16,725","$2,030,944 "
Saturday,2019 - 05,"$55,954 ","172,710","9,074,533",0.24,"9,194","$1,135,833 "
